47.404, -0.245, 66.77
47.366, 1.755, 62.851
47.381, 3.754, 58.672
47.471, 5.751, 54.172
47.672, 7.741, 49.26
48.02, 9.711, 43.802
48.557, 11.636, 37.563
49.39, 13.449, 30.068
50.631, 14.997, 20
52.426, 15.79, 20
54.355, 15.409, 33.832
55.939, 14.207, 60.413
57.142, 12.617, 73.139
58.047, 10.837, 78.886
58.656, 8.934, 80.453
59.033, 6.972, 81.532
59.176, 4.979, 82.924
59.076, 2.982, 83.485
58.768, 1.008, 84.077
58.259, -0.924, 84.761
57.563, -2.796, 85.572
56.693, -4.595, 86.516
55.668, -6.31, 87.577
54.507, -7.937, 88.718
53.225, -9.472, 88.718
51.815, -10.891, 89.895
50.323, -12.22, 91.06
48.763, -13.469, 92.173
47.136, -14.631, 92.173
45.438, -15.687, 93.205
43.71, -16.692, 94.139
41.929, -17.602, 94.139
40.118, -18.449, 94.968
38.281, -19.24, 94.968
36.413, -19.953, 92.748
34.531, -20.63, 89.968
32.625, -21.232, 87.1
30.708, -21.801, 84.133
28.776, -22.316, 81.059
26.831, -22.784, 77.863
24.884, -23.238, 74.53
23.05, -23.903, 71.128
21.397, -25.024, 91.089
19.631, -25.962, 94.45
17.823, -26.816, 96.382
15.99, -27.615, 97.58
14.141, -28.378, 98.372
12.282, -29.115, 98.928
10.415, -29.833, 98.928
8.543, -30.536, 99.343
6.668, -31.231, 99.672
4.79, -31.921, 99.952
2.912, -32.607, 97.657
1.033, -33.293, 95.021
-0.845, -33.98, 92.309
-2.723, -34.67, 89.515
-4.597, -35.366, 86.631
-6.469, -36.071, 83.648
-8.337, -36.786, 80.554
-10.201, -37.511, 77.336
-12.056, -38.258, 73.979
-13.904, -39.023, 70.462
-15.742, -39.811, 66.761
-17.569, -40.626, 62.841
-19.375, -41.483, 58.66
-21.157, -42.391, 54.157
-22.906, -43.362, 49.245
-24.603, -44.419, 43.786
-26.217, -45.598, 37.542
-27.632, -47.006, 30.042
-28.612, -48.724, 20
-28.429, -50.66, 29.955
-27.151, -52.175, 60.813
-25.479, -53.265, 87.31
-23.668, -54.112, 90.118
-21.791, -54.803, 87.254
-19.879, -55.389, 84.294
-17.951, -55.917, 81.226
-16.007, -56.385, 78.036
-14.051, -56.801, 74.711
-12.089, -57.193, 71.23
-10.12, -57.54, 67.57
-8.148, -57.871, 63.7
-6.171, -58.177, 59.58
-4.191, -58.457, 55.152
-2.211, -58.738, 50.337
-0.227, -58.99, 45.009
1.76, -59.126, 38.986
3.665, -58.556, 49.846
5.302, -57.416, 75.493
6.71, -55.999, 89.499
8.006, -54.476, 89.505
9.286, -52.939, 86.621
10.622, -51.451, 83.637
12.067, -50.07, 80.545
13.658, -48.86, 77.329
15.407, -47.894, 74.83
17.282, -47.205, 75.37
19.243, -46.823, 79.144
21.238, -46.715, 82.684
23.233, -46.836, 85.145
25.154, -47.381, 86.672
27.067, -47.966, 83.69
28.979, -48.552, 80.598
30.891, -49.138, 77.382
32.804, -49.724, 74.027
34.716, -50.31, 70.512
36.628, -50.895, 66.813
38.54, -51.481, 62.897
40.453, -52.067, 58.72
42.365, -52.653, 54.222
44.277, -53.239, 49.315
46.19, -53.824, 43.863
48.102, -54.41, 37.63
50.014, -54.996, 30.133
51.926, -55.582, 20
53.223, -55.979, 0
53.223, -55.979, 0
72.346, -61.837, 0
endData
127
100
200
47.404, -0.245, 45.567, 42.015, 87.426, -10.963, 23.518, -23.518
23.518, -23.518, 14.341, -32.419, -72.591, -50.1, -0.14, -59.001
-0.14, -59.001, 8.364, -60.889, 8.633, -44.976, 23.467, -46.864
23.467, -46.864, 38.345, -51.421, 38.345, -51.421, 53.223, -55.979
